"%s Store","%s Store"
"About Your Order","About Your Order"
"Account Information","Account Information"
"Adapter Name","Adapter Name"
"Arabic","Arabic"
"Back","Back"
"Back to My Orders","Back to My Orders"
"Baltic","Baltic"
"Billing Address","Billing Address"
"Billing to Name","Billing to Name"
"Categories","Categories"
"Category %s cannot be saved because of %s.","Category %s cannot be saved because of %s."
"Central European","Central European"
"Check Requirements","Check Requirements"
"Comments History","Comments History"
"Create under default website","Create under default website"
"Created At","Created At"
"Currency","Currency"
"Customer Name","Customer Name"
"Customers","Customers"
"Cyrillic","Cyrillic"
"DB Name","DB Name"
"DB Password","DB Password"
"DB Username","DB Username"
"Database Connection Charset","Database Connection Charset"
"Database Data Charset","Database Data Charset"
"Date","Date"
"Delete Profile","Delete Profile"
"Delivery Address","Delivery Address"
"East Asian","East Asian"
"Edit osCommerce Profile","Edit osCommerce Profile"
"Edit osCommerce Profile :: %s","Edit osCommerce Profile :: %s"
"Email","Email"
"Email %s cannot be saved because of %s.","Email %s cannot be saved because of %s."
"Error for checking store locale!","Error for checking store locale!"
"Final Price","Final Price"
"Finished profile execution.","Finished profile execution."
"General Information","General Information"
"Greek","Greek"
"Hebrew","Hebrew"
"ID","ID"
"IP or Hostname","IP or Hostname"
"Import Options","Import Options"
"Import and Export","Import and Export"
"Importing...","Importing..."
"Items Ordered","Items Ordered"
"Japanese","Japanese"
"Korean","Korean"
"Languages table error ","Languages table error "
"Locale Selection","Locale Selection"
"My Previous Orders","My Previous Orders"
"Name","Name"
"Need to check Customers for Orders","Need to check Customers for Orders"
"New Profile","New Profile"
"New osCommerce Profile","New osCommerce Profile"
"No osCommerce profile","No osCommerce profile"
"No osCommerce profile loaded...","No osCommerce profile loaded..."
"Notice: Please place all images under MAGENTO_ROOT/media/import/ with writable permission to all files including sub folders.","Notice: Please place all images under MAGENTO_ROOT/media/import/ with writable permission to all files including sub folders."
"Order","Order"
"Order #","Order #"
"Order # %s","Order # %s"
"Order #%s failed to import because the customer ID #%s associated with this order could not be found.","Order #%s failed to import because the customer ID #%s associated with this order could not be found."
"Order Date","Order Date"
"Order Date:","Order Date:"
"Order Status","Order Status"
"Order Total","Order Total"
"Order Totals","Order Totals"
"Orders","Orders"
"Payment Information","Payment Information"
"Please check at least an option in Import Options\n","Please check at least an option in Import Options\n"
"Please check default website or input website code in General Information\n","Please check default website or input website code in General Information\n"
"Please select a timezone\n","Please select a timezone\n"
"Port (Default as 3306)","Port (Default as 3306)"
"Prefix","Prefix"
"Price","Price"
"Product","Product"
"Product Name","Product Name"
"Products","Products"
"Purchased Date","Purchased Date"
"Purchased Month","Purchased Month"
"Purchased Year","Purchased Year"
"Qty","Qty"
"Qty Ordered","Qty Ordered"
"Root Category for %s","Root Category for %s"
"Run Profile","Run Profile"
"SKU","SKU"
"SKU %s cannot be saved because of %s.","SKU %s cannot be saved because of %s."
"Sales","Sales"
"Save Profile","Save Profile"
"Save and Continue Edit","Save and Continue Edit"
"Select a Connection Charset","Select a Connection Charset"
"Select a Data Charset","Select a Data Charset"
"Select a timezone","Select a timezone"
"Select a website","Select a website"
"Send Subscription Notification to Customers","Send Subscription Notification to Customers"
"Ship To","Ship To"
"Ship to Name","Ship to Name"
"Shipping & Handling Information","Shipping & Handling Information"
"Shipping Address","Shipping Address"
"Shipping Method","Shipping Method"
"Simplified Chinese","Simplified Chinese"
"South Asian","South Asian"
"Start Running","Start Running"
"Starting profile execution, please wait...","Starting profile execution, please wait..."
"Subtotal","Subtotal"
"System","System"
"Thai","Thai"
"The data has been imported.","The data has been imported."
"The osCommerce profile has been deleted.","The osCommerce profile has been deleted."
"The osCommerce profile has been saved.","The osCommerce profile has been saved."
"This order no longer exists.","This order no longer exists."
"Timezone","Timezone"
"To import orders, Magento requires that customers also be imported.","To import orders, Magento requires that customers also be imported."
"Total imported <strong>%s</strong> records (%s)","Total imported <strong>%s</strong> records (%s)"
"Traditional Chinese","Traditional Chinese"
"Unicode","Unicode"
"Updated At","Updated At"
"View #%s","View #%s"
"View Order","View Order"
"Warning: Please do not close window during importing/exporting data.","Warning: Please do not close window during importing/exporting data."
"Website Code","Website Code"
"Western","Western"
"osCommerce","osCommerce"
"osCommerce Orders","osCommerce Orders"
"osCommerce Profile","osCommerce Profile"
"osCommerce Profiles","osCommerce Profiles"
"processed <strong>%s%% %s/%s</strong> records","processed <strong>%s%% %s/%s</strong> records"
"records","records"
