"%s is not correct comparsion method.","%s is not correct comparsion method."
"<strong>Please note</strong>, that these Settings are applicable to cart line Items, not the whole Cart.","<strong>Please note</strong>, that these Settings are applicable to cart line Items, not the whole Cart."
"Allow Qty Below 0","Allow Qty Below 0"
"Allow Qty Below 0 and Notify Customer","Allow Qty Below 0 and Notify Customer"
"Backorders","Backorders"
"By Fixed value","By Fixed value"
"By Percentage","By Percentage"
"Can not specify product identifier for order item","Can not specify product identifier for order item"
"Decrease Stock When Order is Placed","Decrease Stock When Order is Placed"
"Inventory","Inventory"
"Inventory API","Inventory API"
"Manage Stock","Manage Stock"
"Maximum Qty Allowed in Shopping Cart","Maximum Qty Allowed in Shopping Cart"
"Minimum Qty Allowed in Shopping Cart","Minimum Qty Allowed in Shopping Cart"
"No Backorders","No Backorders"
"Notify for Quantity Below","Notify for Quantity Below"
"Product Stock Options","Product Stock Options"
"Qty for Items' Status to become Out of Stock","Qty for Items' Status to become Out of Stock"
"Retrieve stock data by product ids","Retrieve stock data by product ids"
"Rule price","Rule price"
"Set Items' Status to be In Stock When Order is Cancelled","Set Items' Status to be In Stock When Order is Cancelled"
"Some of the products are currently out of stock","Some of the products are currently out of stock"
"Some of the products can not be ordered in requested quantity","Some of the products can not be ordered in requested quantity"
"Some of the products cannot be ordered in the requested quantity","Some of the products cannot be ordered in the requested quantity"
"Stock Options","Stock Options"
"Stock item for Product in option is not valid","Stock item for Product in option is not valid"
"Stock item for Product is not valid","Stock item for Product is not valid"
"The maximum quantity allowed for purchase is %s.","The maximum quantity allowed for purchase is %s."
"The minimum quantity allowed for purchase is %s.","The minimum quantity allowed for purchase is %s."
"The requested quantity for ""%s"" is not available.","The requested quantity for ""%s"" is not available."
"The requested quantity is not available.","The requested quantity is not available."
"This product is currently out of stock.","This product is currently out of stock."
"To Fixed Value","To Fixed Value"
"To Percentage","To Percentage"
"Update product stock data","Update product stock data"
"Update the Product","Update the Product"
