"--Please Select--","--Please Select--"
"AMEX","AMEX"
"AURORE","AURORE"
"Activated Key","Activated Key"
"Amount is not match.","Amount is not match."
"Authorization","Authorization"
"CARTE","CARTE"
"CB","CB"
"Cann\'t create invoice","Cann\'t create invoice"
"Card Verification Number","Card Verification Number"
"Cart Type","Cart Type"
"Command Line Mode","Command Line Mode"
"Credit Card Number","Credit Card Number"
"Credit Card Number: xxxx-%s","Credit Card Number: xxxx-%s"
"Credit Card Type","Credit Card Type"
"Credit Card Type: %s","Credit Card Type: %s"
"Credit Card Types","Credit Card Types"
"Customer Choise","Customer Choise"
"Customer successfully returned from Paybox","Customer successfully returned from Paybox"
"Customer was redirected to Paybox","Customer was redirected to Paybox"
"Customer was redirected to Paybox using \'command line\' mode","Customer was redirected to Paybox using \'command line\' mode"
"Customer was refuse by Paybox","Customer was refuse by Paybox"
"Customer was rejected by Paybox","Customer was rejected by Paybox"
"DEU (German)","DEU (German)"
"DINERS","DINERS"
"Debug Flag","Debug Flag"
"Delay in displaying the intermediary page (in msec)","Delay in displaying the intermediary page (in msec)"
"E CARD","E CARD"
"ESP (Spanish)","ESP (Spanish)"
"EUROCARD & MASTERCARD","EUROCARD & MASTERCARD"
"Enabled","Enabled"
"Error in refunding the payment","Error in refunding the payment"
"Error occured","Error occured"
"Expiration Date","Expiration Date"
"Expiration Date: %s/%s","Expiration Date: %s/%s"
"FRA (French)","FRA (French)"
"GBR (English)","GBR (English)"
"GET","GET"
"HTML form","HTML form"
"ITA (Italian)","ITA (Italian)"
"Invoice was create successfully","Invoice was create successfully"
"JCB","JCB"
"Language of the payment page","Language of the payment page"
"Management mode of the intermediary page","Management mode of the intermediary page"
"Mode A","Mode A"
"Mode B","Mode B"
"Mode C","Mode C"
"Mode D","Mode D"
"Mode E","Mode E"
"Mode of retrieval of information","Mode of retrieval of information"
"NLD (Dutch)","NLD (Dutch)"
"Name of the button on the intermediary page","Name of the button on the intermediary page"
"Name on Card","Name on Card"
"Name on the Card: %s","Name on the Card: %s"
"New order status","New order status"
"Only if you HTML From mode selected","Only if you HTML From mode selected"
"Only with 'Command Line' mode","Only with 'Command Line' mode"
"Order is not match.","Order is not match."
"Order was canceled by customer","Order was canceled by customer"
"PAYBOX identifier","PAYBOX identifier"
"PAYNOVA","PAYNOVA"
"PAYPAL","PAYPAL"
"POST","POST"
"Paybox CGI file","Paybox CGI file"
"Paybox Direct","Paybox Direct"
"Paybox System","Paybox System"
"Paybox payment gateway is not available right now","Paybox payment gateway is not available right now"
"Payment","Payment"
"Payment Action","Payment Action"
"Payment Type","Payment Type"
"Payment from Specific countries","Payment from Specific countries"
"Payment from applicable countries","Payment from applicable countries"
"Ping Flag","Ping Flag"
"Please <a href=""%s"">continue shopping</a>.","Please <a href=""%s"">continue shopping</a>."
"Please Select","Please Select"
"Rank number","Rank number"
"SWE (Swedish)","SWE (Swedish)"
"SYMPASS","SYMPASS"
"Screen background of the intermediary page","Screen background of the intermediary page"
"Site number (TPE)","Site number (TPE)"
"Sort order","Sort order"
"Specify the URL of the primary backup payment server if different from default","Specify the URL of the primary backup payment server if different from default"
"Specify the URL of the primary payment server if different from default","Specify the URL of the primary payment server if different from default"
"Specify the URL of the second backup payment server if different from default","Specify the URL of the second backup payment server if different from default"
"Specify the URL of the third backup payment server if different from default","Specify the URL of the third backup payment server if different from default"
"TCP Port","TCP Port"
"TCP Port used to check the availability of a payment server if Ping Flag enabled (Default port is 443)","TCP Port used to check the availability of a payment server if Ping Flag enabled (Default port is 443)"
"TERMINEO","TERMINEO"
"Text on the intermediary page","Text on the intermediary page"
"The URL of the backup payment server","The URL of the backup payment server"
"The URL of the primary backup payment server","The URL of the primary backup payment server"
"The URL of the primary payment server","The URL of the primary payment server"
"The URL of the second backup payment server","The URL of the second backup payment server"
"The URL of the third backup payment server","The URL of the third backup payment server"
"There are no order.","There are no order."
"There has been an error processing your payment. ","There has been an error processing your payment. "
"There has been an error processing your payment. Please try later or contact us for help.","There has been an error processing your payment. Please try later or contact us for help."
"Time-out (in seconds) to check the avalaibility of the primary backup payment server (Default 10 seconds)","Time-out (in seconds) to check the avalaibility of the primary backup payment server (Default 10 seconds)"
"Time-out (in seconds) to check the avalaibility of the primary payment server (Default 8 seconds)","Time-out (in seconds) to check the avalaibility of the primary payment server (Default 8 seconds)"
"Time-out (in seconds) to check the avalaibility of the second backup payment server (Default 20 seconds)","Time-out (in seconds) to check the avalaibility of the second backup payment server (Default 20 seconds)"
"Time-out (in seconds) to check the avalaibility of the third backup payment server (Default 20 seconds)","Time-out (in seconds) to check the avalaibility of the third backup payment server (Default 20 seconds)"
"Timeout for checking","Timeout for checking"
"Title","Title"
"VISA","VISA"
"What is this?","What is this?"
"You will be redirected to Paybox in a few seconds.","You will be redirected to Paybox in a few seconds."
"You will be redirected to Paybox website when you place an order.","You will be redirected to Paybox website when you place an order."
