"# of Uses","# of Uses"
"%s tag(s) have been accepted for moderation","%s tag(s) have been accepted for moderation"
"Action","Action"
"Actions","Actions"
"Add New Tag","Add New Tag"
"Add Tags","Add Tags"
"Add Your Tags:","Add Your Tags:"
"Add to Cart","Add to Cart"
"Add to Wishlist","Add to Wishlist"
"All Tags","All Tags"
"Approved","Approved"
"Are you sure that you want to delete this tag?","Are you sure that you want to delete this tag?"
"Are you sure you want to delete this tag?","Are you sure you want to delete this tag?"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Are you sure?","Are you sure?"
"Back","Back"
"Back to Tags List","Back to Tags List"
"Back to view Tag","Back to view Tag"
"Block Information","Block Information"
"CSV","CSV"
"Change status","Change status"
"Click on a tag to view your corresponding products.","Click on a tag to view your corresponding products."
"Country","Country"
"Customer Since","Customer Since"
"Customers","Customers"
"Customers Tagged '%s'","Customers Tagged '%s'"
"Delete","Delete"
"Delete Tag","Delete Tag"
"Disabled","Disabled"
"Edit Tag","Edit Tag"
"Edit Tag '%s'","Edit Tag '%s'"
"Email","Email"
"First Name","First Name"
"General Information","General Information"
"Grid","Grid"
"ID","ID"
"Last Name","Last Name"
"List","List"
"My Recent Tags","My Recent Tags"
"My Tags","My Tags"
"Name","Name"
"New Tag","New Tag"
"No matches found.","No matches found."
"Other people marked this product with these tags:","Other people marked this product with these tags:"
"Pending","Pending"
"Pending Tags","Pending Tags"
"Popular","Popular"
"Popular Tags","Popular Tags"
"Popularity","Popularity"
"Price","Price"
"Product Name","Product Name"
"Product SKU","Product SKU"
"Product Tags","Product Tags"
"Products","Products"
"Products Tagged with '%s'","Products Tagged with '%s'"
"Products tagged with '%s'","Products tagged with '%s'"
"Products tagged with '%s' (<a href='%s'>RSS</a>)","Products tagged with '%s' (<a href='%s'>RSS</a>)"
"SKU","SKU"
"Save Tag","Save Tag"
"Search Results for '%s' (<a href='%s'>RSS</a>)","Search Results for '%s' (<a href='%s'>RSS</a>)"
"Search Terms","Search Terms"
"Status","Status"
"Tag","Tag"
"Tag ""%s"" has already been added to the product","Tag ""%s"" has already been added to the product"
"Tag Information","Tag Information"
"Tag Name","Tag Name"
"Tag Name: %s","Tag Name: %s"
"Tag can\'t be empty.","Tag can\'t be empty."
"Tagged in","Tagged in"
"Tags","Tags"
"Tags Aren't Available","Tags Aren't Available"
"Tags:","Tags:"
"Telephone","Telephone"
"Thank you. Your tag has been accepted for moderation.","Thank you. Your tag has been accepted for moderation."
"Unable to find any products tagged with '%s' in the current store","Unable to find any products tagged with '%s' in the current store"
"Unable to remove tag. Please, try again later.","Unable to remove tag. Please, try again later."
"Unable to save tag(s)","Unable to save tag(s)"
"Unable to save your tag. Please, try again later.","Unable to save your tag. Please, try again later."
"Use spaces to separate tags. Use single quotes (') for phrases.","Use spaces to separate tags. Use single quotes (') for phrases."
"Uses","Uses"
"View All Tags","View All Tags"
"View Customers","View Customers"
"View Products","View Products"
"Visible In","Visible In"
"XML","XML"
"You have not tagged any products yet.","You have not tagged any products yet."
"Your tag was successfully deleted","Your tag was successfully deleted"
"Your tag was successfully saved","Your tag was successfully saved"
"ZIP/Post Code","ZIP/Post Code"
